X,Y,DESC_,NAME,Aus_u_ga@2,Aus_Ka_ga@,Aus_Amag_g,Aus_Th_ga@,Aus_BA267_
130.280714152039,-28.6002832346903,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.45656,0.08916,-53.10733,5.07089,-740.79724
130.281675266302,-28.6005593856864,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.50554,0.10457,-53.63591,5.01607,-740.79724
130.282636380565,-28.6008355366825,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.54829,0.10292,-54.17610,4.92189,-741.53040
130.283597494829,-28.6011116876787,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.59323,0.10268,-54.68973,4.83495,-741.53040
130.284558609092,-28.6013878386748,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.63817,0.10353,-55.20298,4.75612,-741.53040
130.285519723356,-28.601663989671,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.67939,0.12512,-55.20355,4.83171,-741.53040
130.286480837619,-28.6019401406671,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.67939,0.12512,-55.72419,4.83171,-741.53040
130.287441951883,-28.6022162916633,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.72025,0.12838,-56.24786,4.80380,-741.53040
130.288403066146,-28.6024924426594,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.75996,0.13281,-56.77820,4.79273,-741.53040
130.289364180409,-28.6027685936555,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.78662,0.15740,-57.31522,4.97388,-741.53040
130.290325294673,-28.6030447446517,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.81740,0.16306,-57.85761,4.99596,-737.83643
130.291286408936,-28.6033208956478,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.84238,0.16924,-57.87024,5.02816,-738.41949
130.2922475232,-28.603597046644,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.84507,0.19451,-58.42583,5.27204,-738.41949
130.293208637463,-28.6038731976401,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.85645,0.20109,-58.98664,5.31984,-738.41949
130.294169751726,-28.6041493486362,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.86303,0.20794,-59.01588,5.36883,-738.41949
130.29513086599,-28.6044254996324,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.86334,0.21507,-60.16686,5.41805,-738.41949
130.296091980253,-28.6047016506285,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.84168,0.23896,-60.74981,5.65242,-738.41949
130.297053094517,-28.6049778016247,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.82711,0.24562,-60.80408,5.67942,-738.41949
130.29801420878,-28.6052539526208,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.80716,0.25223,-61.40252,5.69858,-738.41949
130.298975323043,-28.605530103617,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.77577,0.27385,-62.00665,5.86830,-739.06860
130.299936437307,-28.6058062546131,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.74812,0.27982,-62.08652,5.85745,-739.06860
130.30089755157,-28.6060824056092,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.71546,0.28566,-63.33877,5.83401,-739.06860
130.301858665834,-28.6063585566054,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.67891,0.29119,-63.97749,5.79882,-739.06860
130.302819780097,-28.6066347076015,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.63979,0.30974,-64.11115,5.86266,-739.06860
130.303780894361,-28.6069108585977,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.60084,0.31380,-64.77567,5.79609,-739.06860
130.304742008624,-28.6071870095938,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.56129,0.31710,-65.45052,5.72206,-739.06860
130.305703122887,-28.6074631605899,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.52157,0.31958,-65.64039,5.64120,-739.06860
130.306664237151,-28.6077393115861,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.48457,0.33311,-66.34791,5.62698,-739.06860
130.307625351414,-28.6080154625822,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.44649,0.33331,-67.81198,5.52743,-739.96118
130.308586465678,-28.6082916135784,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.41096,0.33220,-68.11203,5.42469,-739.96118
130.309547579941,-28.6085677645745,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.38060,0.33977,-68.88953,5.37790,-739.96118
130.310508694204,-28.6088439155707,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.35185,0.33486,-69.67523,5.26903,-739.96118
130.311469808468,-28.6091200665668,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.35185,0.33486,-70.06068,5.26903,-739.96118
130.312430922731,-28.6093962175629,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.32564,0.32886,-70.88208,5.15940,-739.96118
130.313392036995,-28.6096723685591,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.30303,0.32919,-72.55105,5.10014,-739.96118
130.314353151258,-28.6099485195552,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.28509,0.31936,-73.05071,4.98760,-739.96118
130.315314265521,-28.6102246705514,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.27233,0.30786,-73.91084,4.87459,-739.96118
130.316275379785,-28.6105008215475,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.26425,0.29875,-74.77457,4.80492,-741.07843
130.317236494048,-28.6107769725437,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.25880,0.28414,-75.34579,4.68922,-741.07843
130.318197608312,-28.6110531235398,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.25664,0.26890,-76.22779,4.57004,-741.07843
130.319158722575,-28.6113292745359,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.25801,0.25302,-77.10914,4.44622,-741.07843
130.320119836839,-28.6116054255321,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.26740,0.23408,-78.62431,4.33978,-736.56824
