X,Y,DESC_,NAME,Aus_u_ga@2,Aus_Ka_ga@,Aus_Amag_g,Aus_Th_ga@,Aus_BA267_
119.179201135476,-32.4586503600599,093 Yilgarn Craton (Super)-province (Block),Cenozoic alluvium 76543,0.73478,0.74266,-34.95787,20.99190,-582.47650
119.180194803245,-32.4585380018669,093 Yilgarn Craton (Super)-province (Block),Cenozoic alluvium 76543,0.50351,0.77616,-33.52045,21.33979,-582.47650
119.181188471015,-32.4584256436738,093 Yilgarn Craton (Super)-province (Block),Cenozoic alluvium 76543,0.31421,0.85083,-32.25958,22.43211,-582.47650
119.182182138785,-32.4583132854808,093 Yilgarn Craton (Super)-province (Block),Cenozoic alluvium 76543,0.29390,0.90221,-30.78828,23.68697,-582.47650
119.183175806554,-32.4582009272878,093 Yilgarn Craton (Super)-province (Block),Cenozoic alluvium 76543,0.39627,0.94154,-28.79457,25.22928,-581.45880
119.184169474324,-32.4580885690947,093 Yilgarn Craton (Super)-province (Block),Archean granites 76508,0.52065,0.95609,-24.24371,26.71262,-581.45880
119.185163142094,-32.4579762109017,093 Yilgarn Craton (Super)-province (Block),Archean granites 76508,0.60677,0.94497,-19.53111,27.85462,-581.45880
119.186156809863,-32.4578638527087,093 Yilgarn Craton (Super)-province (Block),Archean granites 76508,0.71836,0.91793,-19.10728,29.23689,-581.45880
119.187150477633,-32.4577514945156,093 Yilgarn Craton (Super)-province (Block),Archean granites 76508,1.02479,0.87570,-18.23173,32.74731,-581.45880
119.188144145403,-32.4576391363226,093 Yilgarn Craton (Super)-province (Block),Archean granites 76508,1.59637,0.81612,-16.39689,39.55895,-581.45880
119.189137813172,-32.4575267781296,093 Yilgarn Craton (Super)-province (Block),Archean granites 76508,2.23799,0.74076,-15.83541,48.21357,-581.45880
119.190131480942,-32.4574144199365,093 Yilgarn Craton (Super)-province (Block),Archean granites 76508,2.25562,0.74452,-23.45791,48.64351,-581.45880
