,X,Y,Aus_u_ga@2,Aus_Ka_ga@,Aus_Amag_g,Aus_Th_ga@,Aus_BA267_
40,130.858095,-29.697699,0.009196,0.998817,0.000000,0.998962,0.998988
41,130.858275,-29.696716,0.000004,0.000037,0.000000,0.000016,0.000005
42,130.858454,-29.695732,0.000008,0.000007,0.000000,0.000002,0.000000
43,130.858633,-29.694748,0.000026,0.000002,0.000000,0.000000,0.000000
44,130.858813,-29.693764,0.000123,0.000001,0.000000,0.000000,0.000000
45,130.858992,-29.692780,0.000458,0.000001,0.000000,0.000000,0.000000
46,130.859172,-29.691797,0.001860,0.000001,0.000000,0.000000,0.000000
47,130.859351,-29.690813,0.007568,0.000001,0.000000,0.000000,0.000000
48,130.859530,-29.689829,0.027777,0.000001,0.000000,0.000000,0.000000
49,130.859710,-29.688845,0.086563,0.000001,0.000000,0.000000,0.000000
50,130.859889,-29.687862,0.141198,0.000002,0.000000,0.000000,0.000000
51,130.860069,-29.686878,0.186505,0.000003,0.000000,0.000000,0.000000
52,130.860248,-29.685894,0.197056,0.000004,0.000000,0.000000,0.000000
53,130.860427,-29.684910,0.163699,0.000007,0.000000,0.000000,0.000000
54,130.860607,-29.683927,0.108120,0.000011,0.000000,0.000000,0.000000
55,130.860786,-29.682943,0.058733,0.000018,0.000000,0.000000,0.000000
56,130.860966,-29.681959,0.020970,0.000019,0.000000,0.000000,0.000000
57,130.861145,-29.680975,0.007030,0.000019,0.000000,0.000000,0.000000
58,130.861325,-29.679991,0.002252,0.000017,0.000000,0.000000,0.000000
59,130.861504,-29.679008,0.000705,0.000013,0.000000,0.000000,0.000000
60,130.861683,-29.678024,0.000221,0.000009,0.000000,0.000000,0.000000
61,130.861863,-29.677040,0.000067,0.000004,0.000000,0.000000,0.000000
62,130.862042,-29.676056,0.000022,0.000002,0.000000,0.000000,0.000000
63,130.862222,-29.675073,0.000008,0.000001,0.000000,0.000000,0.000000
64,130.862401,-29.674089,0.000003,0.000000,0.000000,0.000000,0.000000
65,130.862580,-29.673105,0.000001,0.000000,0.000000,0.000000,0.000000
66,130.862760,-29.672121,0.000001,0.000000,0.000000,0.000000,0.000000
67,130.862939,-29.671137,0.000000,0.000000,0.000000,0.000000,0.000000
68,130.863119,-29.670154,0.000000,0.000000,0.000000,0.000000,0.000000
69,130.863298,-29.669170,0.000000,0.000000,0.000000,0.000000,0.000000
70,130.863478,-29.668186,0.000000,0.000000,0.000000,0.000000,0.000000
71,130.863657,-29.667202,0.000000,0.000000,0.000000,0.000000,0.000000
72,130.863836,-29.666219,0.000000,0.000000,0.000000,0.000000,0.000000
73,130.864016,-29.665235,0.000000,0.000000,0.000000,0.000000,0.000000
75,130.864375,-29.663267,0.000000,0.000000,0.000000,0.000000,0.000000
76,130.864554,-29.662283,0.000000,0.000000,0.000000,0.000000,0.000000
77,130.864733,-29.661300,0.000000,0.000000,0.000000,0.000000,0.000000
78,130.864913,-29.660316,0.000000,0.000000,0.000001,0.000000,0.000000
79,130.865092,-29.659332,0.000000,0.000000,0.000003,0.000000,0.000000
80,130.865272,-29.658348,0.000000,0.000000,0.000011,0.000000,0.000000
81,130.865451,-29.657365,0.000000,0.000000,0.000043,0.000000,0.000000
82,130.865630,-29.656381,0.000000,0.000000,0.000175,0.000000,0.000000
83,130.865810,-29.655397,0.000000,0.000000,0.000781,0.000000,0.000000
84,130.865989,-29.654413,0.000000,0.000000,0.002258,0.000000,0.000000
85,130.866169,-29.653430,0.000000,0.000000,0.006021,0.000000,0.000000
86,130.866348,-29.652446,0.000000,0.000000,0.014647,0.000000,0.000000
87,130.866528,-29.651462,0.000000,0.000000,0.032317,0.000000,0.000000
88,130.866707,-29.650478,0.000000,0.000000,0.068239,0.000000,0.000000
89,130.866886,-29.649494,0.000000,0.000000,0.128261,0.000000,0.000000
90,130.867066,-29.648511,0.000000,0.000000,0.145478,0.000000,0.000000
91,130.867245,-29.647527,0.000000,0.000000,0.150968,0.000000,0.000000
92,130.867425,-29.646543,0.000000,0.000000,0.146377,0.000000,0.000000
93,130.867604,-29.645559,0.000000,0.000000,0.129833,0.000000,0.000000
94,130.867783,-29.644576,0.000000,0.000000,0.106527,0.000000,0.000000
95,130.867963,-29.643592,0.000000,0.000000,0.065367,0.000000,0.000000
96,130.868142,-29.642608,0.000000,0.000000,0.039978,0.000000,0.000000
97,130.868322,-29.641624,0.000000,0.000000,0.024501,0.000000,0.000000
98,130.868501,-29.640640,0.000000,0.000000,0.014862,0.000000,0.000000
99,130.868680,-29.639657,0.000000,0.000000,0.008960,0.000000,0.000000
100,130.868860,-29.638673,0.000000,0.000000,0.005328,0.000000,0.000000
101,130.869039,-29.637689,0.000000,0.000000,0.002840,0.000000,0.000000
102,130.869219,-29.636705,0.000000,0.000000,0.001483,0.000000,0.000000
103,130.869398,-29.635722,0.000001,0.000000,0.000747,0.000000,0.000000
104,130.869578,-29.634738,0.000001,0.000000,0.000346,0.000000,0.000000
105,130.869757,-29.633754,0.000002,0.000000,0.000153,0.000000,0.000000
106,130.869936,-29.632770,0.000004,0.000000,0.000062,0.000000,0.000000
107,130.870116,-29.631787,0.000004,0.000000,0.000024,0.000000,0.000000
108,130.870295,-29.630803,0.000004,0.000000,0.000009,0.000000,0.000000
109,130.870475,-29.629819,0.000003,0.000000,0.000004,0.000000,0.000000
110,130.870654,-29.628835,0.000002,0.000000,0.000001,0.000000,0.000000
111,130.870833,-29.627851,0.000001,0.000000,0.000001,0.000000,0.000000
112,130.871013,-29.626868,0.000001,0.000000,0.000000,0.000000,0.000000
113,130.871192,-29.625884,0.000000,0.000000,0.000000,0.000000,0.000000
114,130.871372,-29.624900,0.000000,0.000000,0.000000,0.000000,0.000000
115,130.871551,-29.623916,0.000000,0.000000,0.000000,0.000000,0.000000
116,130.871731,-29.622933,0.000000,0.000000,0.000000,0.000000,0.000000
130,130.874242,-29.609160,0.000000,0.000000,0.000000,0.000000,0.000000
131,130.874422,-29.608176,0.000000,0.000000,0.000000,0.000000,0.000000
132,130.874601,-29.607192,0.000000,0.000000,0.000000,0.000000,0.000000
133,130.874781,-29.606208,0.000000,0.000000,0.000000,0.000000,0.000000
134,130.874960,-29.605225,0.000000,0.000000,0.000000,0.000000,0.000000
135,130.875139,-29.604241,0.000000,0.000000,0.000000,0.000000,0.000000
136,130.875319,-29.603257,0.000000,0.000000,0.000000,0.000000,0.000000
137,130.875498,-29.602273,0.000000,0.000000,0.000000,0.000000,0.000000
138,130.875678,-29.601290,0.000000,0.000000,0.000000,0.000000,0.000000
139,130.875857,-29.600306,0.000000,0.000000,0.000000,0.000000,0.000000
140,130.876036,-29.599322,0.000000,0.000000,0.000000,0.000000,0.000000
141,130.876216,-29.598338,0.000000,0.000000,0.000000,0.000000,0.000000
142,130.876395,-29.597354,0.000000,0.000000,0.000000,0.000000,0.000000
143,130.876575,-29.596371,0.000000,0.000000,0.000000,0.000000,0.000000
144,130.876754,-29.595387,0.000000,0.000000,0.000000,0.000000,0.000000
145,130.876934,-29.594403,0.000000,0.000000,0.000000,0.000000,0.000000
146,130.877113,-29.593419,0.000000,0.000000,0.000000,0.000000,0.000000
147,130.877292,-29.592436,0.000000,0.000000,0.000000,0.000000,0.000000
148,130.877472,-29.591452,0.000001,0.000000,0.000000,0.000000,0.000000
149,130.877651,-29.590468,0.000003,0.000000,0.000000,0.000000,0.000000
150,130.877831,-29.589484,0.000001,0.000000,0.000000,0.000000,0.000000
151,130.878010,-29.588500,0.000000,0.000000,0.000000,0.000000,0.000000
187,130.884469,-29.553085,0.000000,0.000000,0.000000,0.000000,0.000000
188,130.884648,-29.552101,0.000000,0.000000,0.000000,0.000000,0.000000
189,130.884828,-29.551117,0.000000,0.000000,0.000000,0.000000,0.000000
190,130.885007,-29.550133,0.000000,0.000000,0.000000,0.000000,0.000000
191,130.885187,-29.549150,0.000000,0.000000,0.000000,0.000000,0.000000
192,130.885366,-29.548166,0.000000,0.000000,0.000000,0.000000,0.000000
193,130.885545,-29.547182,0.000000,0.000000,0.000000,0.000000,0.000000
194,130.885725,-29.546198,0.000000,0.000000,0.000000,0.000000,0.000000
195,130.885904,-29.545214,0.000000,0.000000,0.000000,0.000000,0.000000
196,130.886084,-29.544231,0.000000,0.000000,0.000000,0.000000,0.000000
197,130.886263,-29.543247,0.000000,0.000000,0.000000,0.000000,0.000000
198,130.886442,-29.542263,0.000000,0.000000,0.000000,0.000000,0.000000
303,130.905281,-29.438967,0.000000,0.000000,0.000000,0.000000,0.000000
304,130.905460,-29.437983,0.000000,0.000000,0.000000,0.000002,0.000000
305,130.905640,-29.436999,0.000000,0.000000,0.000000,0.000037,0.000000
306,130.905819,-29.436016,0.000000,0.000001,0.000000,0.000682,0.000000
307,130.905998,-29.435032,0.000000,0.000010,0.000000,0.010122,0.000000
308,130.906178,-29.434048,0.000000,0.000183,0.000000,0.095322,0.000000
309,130.906357,-29.433064,0.000000,0.003027,0.000000,0.383858,0.000000
310,130.906537,-29.432080,0.000000,0.038030,0.000000,0.419195,0.000000
311,130.906716,-29.431097,0.000000,0.280753,0.000000,0.089602,0.000000
312,130.906896,-29.430113,0.000000,0.477176,0.000000,0.002665,0.000000
313,130.907075,-29.429129,0.000000,0.188536,0.000000,0.000011,0.000000
314,130.907254,-29.428145,0.000000,0.011809,0.000000,0.000000,0.000000
315,130.907434,-29.427162,0.000000,0.000115,0.000000,0.000000,0.000000
316,130.907613,-29.426178,0.000000,0.000011,0.000000,0.000000,0.000000
317,130.907793,-29.425194,0.000000,0.000005,0.000000,0.000000,0.000000
318,130.907972,-29.424210,0.000000,0.000002,0.000000,0.000000,0.000000
319,130.908151,-29.423226,0.000000,0.000001,0.000000,0.000000,0.000000
320,130.908331,-29.422243,0.000000,0.000000,0.000000,0.000000,0.000000
321,130.908510,-29.421259,0.000000,0.000000,0.000000,0.000000,0.000000
322,130.908690,-29.420275,0.000000,0.000000,0.000000,0.000000,0.000000
323,130.908869,-29.419291,0.000000,0.000000,0.000000,0.000000,0.000000
324,130.909049,-29.418308,0.000000,0.000000,0.000000,0.000000,0.000000
330,130.910125,-29.412405,0.000000,0.000000,0.000000,0.000000,0.000000
331,130.910304,-29.411421,0.000000,0.000000,0.000000,0.000000,0.000000
332,130.910484,-29.410437,0.000000,0.000000,0.000000,0.000000,0.000000
333,130.910663,-29.409454,0.000002,0.000000,0.000000,0.000000,0.000000
334,130.910843,-29.408470,0.000007,0.000000,0.000000,0.000000,0.000000
335,130.911022,-29.407486,0.000037,0.000000,0.000000,0.000000,0.000000
336,130.911201,-29.406502,0.000165,0.000000,0.000000,0.000000,0.000000
337,130.911381,-29.405519,0.000601,0.000000,0.000000,0.000000,0.000000
338,130.911560,-29.404535,0.001905,0.000000,0.000000,0.000000,0.000000
339,130.911740,-29.403551,0.004874,0.000000,0.000000,0.000000,0.000000
340,130.911919,-29.402567,0.015764,0.000000,0.000000,0.000000,0.000000
341,130.912099,-29.401583,0.041430,0.000000,0.000000,0.000000,0.000000
342,130.912278,-29.400600,0.086296,0.000000,0.000000,0.000000,0.000000
343,130.912457,-29.399616,0.141039,0.000000,0.000000,0.000000,0.000000
344,130.912637,-29.398632,0.183624,0.000000,0.000000,0.000000,0.000000
